Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
1993,Harrison Ford,The Fugitive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Anthony Hopkins ,The Remains of the Day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Liam Neeson ,Schindler's List,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Tom Hanks ,Forrest Gump,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1994,Morgan Freeman ,The Shawshank Redemption,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1994,Paul Newman ,Nobody's Fool,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1994,Brad Pitt,Legends of the Fall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,John Travolta ,Pulp Fiction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1995,Nicolas Cage ,Leaving Las Vegas,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1995,Richard Dreyfuss ,Mr. Holland's Opus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Anthony Hopkins ,Nixon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1995,Ian McKellen,Richard III,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Sean Penn ,Dead Man Walking,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1996,Geoffrey Rush ,Shine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1996,Ralph Fiennes ,The English Patient,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1996,Mel Gibson,Ransom,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Woody Harrelson ,The People vs. Larry Flynt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1996,Liam Neeson,Michael Collins,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Peter Fonda ,Ulee's Gold,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1997,Matt Damon ,Good Will Hunting,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1997,Daniel Day-Lewis,The Boxer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Leonardo DiCaprio,Titanic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,Djimon Hounsou,Amistad,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Jim Carrey ,The Truman Show,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Stephen Fry,Wilde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Tom Hanks ,Saving Private Ryan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1998,Ian McKellen ,Gods and Monsters,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1998,Nick Nolte ,Affliction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1999,Denzel Washington ,The Hurricane,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1999,Russell Crowe ,The Insider,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1999,Matt Damon,The Talented Mr. Ripley,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Richard Farnsworth ,The Straight Story,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Kevin Spacey ,American Beauty,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2000,Tom Hanks ,Cast Away,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,Javier Bardem ,Before Night Falls,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Russell Crowe ,Gladiator,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,Michael Douglas,Wonder Boys,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Geoffrey Rush ,Quills,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2001,Russell Crowe ,A Beautiful Mind,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2001,Will Smith ,Ali,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Kevin Spacey,The Shipping News,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
