Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee
American Gangster,2007,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Eastern Promises,2007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Debaters,2007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Clayton ,2007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
No Country for Old Men ,2007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
There Will Be Blood ,2007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Slumdog Millionaire ,2008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Curious Case of Benjamin Button ,2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Frost/Nixon ,2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Reader ,2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Revolutionary Road,2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avatar ,2009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Hurt Locker ,2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inglourious Basterds ,2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Precious ,2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Up in the Air ,2009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Social Network ,2010,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Swan ,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Fighter ,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Inception ,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The King's Speech ,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Descendants ,2011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Help ,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hugo ,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Ides of March,2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
