Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
1994,Quiz Show,Robert Redford ,0.0,1.0,0.0,0.0,0.0,0.0
1995,Braveheart,Mel Gibson ,1.0,1.0,0.0,0.0,0.0,0.0
1995,The American President,Rob Reiner,0.0,1.0,0.0,0.0,0.0,0.0
1995,Apollo 13,Ron Howard,0.0,1.0,0.0,0.0,0.0,0.0
1995,Casino,Martin Scorsese,0.0,1.0,0.0,0.0,0.0,0.0
1995,Leaving Las Vegas,Mike Figgis ,0.0,1.0,0.0,0.0,0.0,0.0
1995,Sense and Sensibility,Ang Lee,0.0,1.0,0.0,1.0,0.0,0.0
1996,The People vs. Larry Flynt,Miloš Forman ,1.0,1.0,0.0,0.0,0.0,0.0
1996,The English Patient,Anthony Minghella ,0.0,1.0,0.0,0.0,0.0,0.0
1996,Evita,Alan Parker,0.0,1.0,0.0,0.0,0.0,0.0
1996,Fargo,Joel Coen ,0.0,1.0,0.0,0.0,0.0,0.0
1996,Shine,Scott Hicks ,0.0,1.0,0.0,0.0,0.0,0.0
1997,Titanic,James Cameron ,1.0,1.0,0.0,0.0,0.0,0.0
1997,Amistad,Steven Spielberg,0.0,1.0,0.0,0.0,0.0,0.0
1997,As Good as It Gets,James L. Brooks,0.0,1.0,0.0,0.0,0.0,0.0
1997,The Boxer,Jim Sheridan,0.0,1.0,0.0,0.0,0.0,0.0
1997,L.A. Confidential,Curtis Hanson ,0.0,1.0,0.0,0.0,0.0,0.0
1998,Saving Private Ryan,Steven Spielberg ,1.0,1.0,0.0,0.0,0.0,0.0
1998,Elizabeth,Shekhar Kapur,0.0,1.0,0.0,1.0,0.0,0.0
1998,The Horse Whisperer,Robert Redford,0.0,1.0,0.0,0.0,0.0,0.0
1998,Shakespeare in Love,John Madden ,0.0,1.0,0.0,0.0,0.0,0.0
1998,The Truman Show,Peter Weir ,0.0,1.0,0.0,0.0,0.0,0.0
1999,American Beauty,Sam Mendes ,1.0,1.0,0.0,0.0,0.0,0.0
1999,The End of the Affair,Neil Jordan,0.0,1.0,0.0,1.0,0.0,0.0
1999,The Hurricane,Norman Jewison,0.0,1.0,0.0,0.0,0.0,0.0
1999,The Insider,Michael Mann ,0.0,1.0,0.0,0.0,0.0,0.0
1999,The Talented Mr. Ripley,Anthony Minghella,0.0,1.0,0.0,1.0,0.0,0.0
2000,"Crouching Tiger, Hidden Dragon",Ang Lee ,1.0,1.0,0.0,0.0,0.0,0.0
2000,Erin Brockovich,Steven Soderbergh ,0.0,1.0,0.0,0.0,0.0,0.0
2000,Gladiator,Ridley Scott ,0.0,1.0,0.0,0.0,0.0,0.0
2000,Sunshine,István Szabó,0.0,1.0,0.0,0.0,0.0,0.0
2000,Traffic,Steven Soderbergh ,0.0,1.0,0.0,0.0,0.0,0.0
2001,Gosford Park,Robert Altman ,1.0,1.0,0.0,0.0,0.0,0.0
2001,A.I. Artificial Intelligence,Steven Spielberg,0.0,1.0,0.0,0.0,0.0,0.0
2001,A Beautiful Mind,Ron Howard ,0.0,1.0,0.0,0.0,0.0,0.0
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson ,0.0,1.0,0.0,0.0,0.0,0.0
2001,Moulin Rouge!,Baz Luhrmann,0.0,1.0,0.0,1.0,0.0,0.0
2001,Mulholland Drive,David Lynch ,0.0,1.0,0.0,0.0,0.0,0.0
2002,Gangs of New York,Martin Scorsese ,1.0,1.0,0.0,0.0,0.0,0.0
2002,About Schmidt,Alexander Payne,0.0,1.0,0.0,0.0,0.0,0.0
2002,Adaptation,Spike Jonze,0.0,1.0,0.0,0.0,0.0,0.0
2002,Chicago,Rob Marshall ,0.0,1.0,0.0,0.0,0.0,0.0
2002,The Hours,Stephen Daldry ,0.0,1.0,0.0,0.0,0.0,0.0
2002,The Lord of the Rings: The Two Towers,Peter Jackson,0.0,1.0,0.0,1.0,0.0,0.0
2003,The Lord of the Rings: The Return of the King,Peter Jackson ,1.0,1.0,0.0,0.0,0.0,0.0
2003,Cold Mountain,Anthony Minghella,0.0,1.0,0.0,1.0,0.0,0.0
2003,Lost in Translation,Sofia Coppola ,0.0,1.0,0.0,0.0,0.0,0.0
2003,Master and Commander: The Far Side of the World,Peter Weir ,0.0,1.0,0.0,0.0,0.0,0.0
